"ensembl_gene_id" "external_gene_name" "entrezgene" "description" "percentage_gc_content" "chromosome_name"
"1" "ENSG00000000938" "FGR" 2268 "FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]" 52.97 "1"
"53" "ENSG00000007384" "RHBDF1" 64285 "rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:20561]" 61.15 "16"
"54" "ENSG00000007392" "LUC7L" 55692 "LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:6723]" 47.33 "16"
"55" "ENSG00000007541" "PIGQ" 9091 "phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:HGNC:14135]" 64.36 "16"
"56" "ENSG00000007866" "TEAD3" 7005 "TEA domain family member 3 [Source:HGNC Symbol;Acc:HGNC:11716]" 56.75 "6"
"57" "ENSG00000008018" "PSMB1" 5689 "proteasome (prosome, macropain) subunit, beta type, 1 [Source:HGNC Symbol;Acc:HGNC:9537]" 39.81 "6"
"58" "ENSG00000008128" "CDK11A" 728642 "cyclin-dependent kinase 11A [Source:HGNC Symbol;Acc:HGNC:1730]" 51.99 "1"
"59" "ENSG00000008130" "NADK" 65220 "NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]" 53.7 "1"
"60" "ENSG00000008256" "CYTH3" 9265 "cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]" 44.78 "7"
"61" "ENSG00000008282" "SYPL1" 6856 "synaptophysin-like 1 [Source:HGNC Symbol;Acc:HGNC:11507]" 38.18 "7"
"62" "ENSG00000008283" "CYB561" 1534 "cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]" 57.41 "17"
"63" "ENSG00000008294" "SPAG9" 9043 "sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]" 40 "17"
"64" "ENSG00000008394" "MGST1" 4257 "microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]" 36.94 "12"
"65" "ENSG00000008441" "NFIX" 4784 "nuclear factor I/X (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:HGNC:7788]" 55.28 "19"
"66" "ENSG00000008513" "ST3GAL1" 6482 "ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]" 49.4 "8"
"67" "ENSG00000008516" "MMP25" 64386 "matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]" 58.2 "16"
"68" "ENSG00000008517" "IL32" 9235 "interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]" 53.36 "16"
"69" "ENSG00000008710" "PKD1" 5310 "polycystic kidney disease 1 (autosomal dominant) [Source:HGNC Symbol;Acc:HGNC:9008]" 63.1 "16"
"70" "ENSG00000008735" "MAPK8IP2" 23542 "mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]" 63.07 "22"
"71" "ENSG00000008838" "MED24" 9862 "mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]" 50.63 "17"
"72" "ENSG00000008952" "SEC62" 7095 "SEC62 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:11846]" 36.6 "3"
"73" "ENSG00000008988" "RPS20" 6224 "ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]" 41.97 "8"
"74" "ENSG00000009307" "CSDE1" 7812 "cold shock domain containing E1, RNA-binding [Source:HGNC Symbol;Acc:HGNC:29905]" 38.28 "1"
"75" "ENSG00000009335" "UBE3C" 9690 "ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]" 42.12 "7"
"76" "ENSG00000009413" "REV3L" 5980 "REV3-like, polymerase (DNA directed), zeta, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]" 36.9 "6"
"77" "ENSG00000009765" "IYD" 389434 "iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]" 41.6 "6"
"78" "ENSG00000009950" "MLXIPL" 51085 "MLX interacting protein-like [Source:HGNC Symbol;Acc:HGNC:12744]" 56.25 "7"
"79" "ENSG00000009954" "BAZ1B" 9031 "bromodomain adjacent to zinc finger domain, 1B [Source:HGNC Symbol;Acc:HGNC:961]" 43.19 "7"
"80" "ENSG00000010017" "RANBP9" 10048 "RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]" 36.94 "6"
"81" "ENSG00000010244" "ZNF207" 7756 "zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]" 38.47 "17"
"82" "ENSG00000010256" "UQCRC1" 7384 "ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:HGNC:12585]" 53.04 "3"
"83" "ENSG00000010278" "CD9" 928 "CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]" 51.04 "12"
"84" "ENSG00000010295" "IFFO1" 25900 "intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]" 54.32 "12"
"85" "ENSG00000010318" "PHF7" 51533 "PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]" 45.33 "3"
"86" "ENSG00000010319" "SEMA3G" 56920 "sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G [Source:HGNC Symbol;Acc:HGNC:30400]" 59.63 "3"
"87" "ENSG00000010322" "NISCH" 11188 "nischarin [Source:HGNC Symbol;Acc:HGNC:18006]" 53.28 "3"
"88" "ENSG00000010327" "STAB1" 23166 "stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]" 60.65 "3"
"89" "ENSG00000010404" "IDS" 3423 "iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]" 45.34 "X"
"90" "ENSG00000010438" "PRSS3" 5645 "protease, serine, 3 [Source:HGNC Symbol;Acc:HGNC:9486]" 42.84 "9"
"92" "ENSG00000010803" "SCMH1" 22955 "sex comb on midleg homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:19003]" 39.5 "1"
"93" "ENSG00000010810" "FYN" 2534 "FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]" 42.42 "6"
"94" "ENSG00000010818" "HIVEP2" 3097 "human immunodeficiency virus type I enhancer binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4921]" 38.32 "6"
"95" "ENSG00000011007" "TCEB3" 6924 "transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) [Source:HGNC Symbol;Acc:HGNC:11620]" 45.7 "1"
"96" "ENSG00000011021" "CLCN6" 1185 "chloride channel, voltage-sensitive 6 [Source:HGNC Symbol;Acc:HGNC:2024]" 47.79 "1"
"97" "ENSG00000011028" "MRC2" 9902 "mannose receptor, C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]" 52.24 "17"
"98" "ENSG00000011105" "TSPAN9" 10867 "tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]" 52.13 "12"
"99" "ENSG00000011243" "AKAP8L" 26993 "A kinase (PRKA) anchor protein 8-like [Source:HGNC Symbol;Acc:HGNC:29857]" 48.86 "19"
"100" "ENSG00000011275" "RNF216" 54476 "ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]" 45.52 "7"
"101" "ENSG00000011295" "TTC19" 54902 "tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]" 41.07 "17"
"102" "ENSG00000011304" "PTBP1" 5725 "polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]" 61.17 "19"
"103" "ENSG00000011405" "PIK3C2A" 5286 "phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]" 39.84 "11"
"104" "ENSG00000011451" "WIZ" 58525 "widely interspaced zinc finger motifs [Source:HGNC Symbol;Acc:HGNC:30917]" 58.16 "19"
"105" "ENSG00000011454" "RABGAP1" 2844 "RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]" 38.49 "9"
"107" "ENSG00000011465" "DCN" 1634 "decorin [Source:HGNC Symbol;Acc:HGNC:2705]" 34.92 "12"
"108" "ENSG00000011485" "PPP5C" 5536 "protein phosphatase 5, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]" 50.75 "19"
"109" "ENSG00000011600" "TYROBP" 7305 "TYRO protein tyrosine kinase binding protein [Source:HGNC Symbol;Acc:HGNC:12449]" 51.45 "19"
"110" "ENSG00000012171" "SEMA3B" 7869 "sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B [Source:HGNC Symbol;Acc:HGNC:10724]" 60.71 "3"
"111" "ENSG00000012223" "LTF" 4057 "lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]" 46.95 "3"
"112" "ENSG00000012232" "EXTL3" 2137 "exostosin-like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]" 44.36 "8"
"113" "ENSG00000012660" "ELOVL5" 60481 "ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]" 41.88 "6"
"114" "ENSG00000012779" "ALOX5" 240 "arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]" 47.73 "10"
"115" "ENSG00000012817" "KDM5D" 8284 "lysine (K)-specific demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]" 38.66 "Y"
"116" "ENSG00000012822" "CALCOCO1" 57658 "calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]" 49.2 "12"
"117" "ENSG00000012983" "MAP4K5" 11183 "mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]" 37.27 "14"
"118" "ENSG00000013275" "PSMC4" 5704 "proteasome (prosome, macropain) 26S subunit, ATPase, 4 [Source:HGNC Symbol;Acc:HGNC:9551]" 50.25 "19"
"119" "ENSG00000013288" "MAN2B2" 23324 "mannosidase, alpha, class 2B, member 2 [Source:HGNC Symbol;Acc:HGNC:29623]" 54.58 "4"
"120" "ENSG00000013297" "CLDN11" 5010 "claudin 11 [Source:HGNC Symbol;Acc:HGNC:8514]" 41.54 "3"
"121" "ENSG00000013306" "SLC25A39" 51629 "solute carrier family 25, member 39 [Source:HGNC Symbol;Acc:HGNC:24279]" 61.11 "17"
"122" "ENSG00000013364" "MVP" 9961 "major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]" 52.54 "16"
"123" "ENSG00000013441" "CLK1" 1195 "CDC-like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]" 41.85 "2"
"124" "ENSG00000013561" "RNF14" 9604 "ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058]" 42.04 "5"
"125" "ENSG00000013588" "GPRC5A" 9052 "G protein-coupled receptor, class C, group 5, member A [Source:HGNC Symbol;Acc:HGNC:9836]" 46.77 "12"
"126" "ENSG00000014216" "CAPN1" 823 "calpain 1, (mu/I) large subunit [Source:HGNC Symbol;Acc:HGNC:1476]" 51.18 "11"
"127" "ENSG00000014257" "ACPP" 55 "acid phosphatase, prostate [Source:HGNC Symbol;Acc:HGNC:125]" 40.4 "3"
"128" "ENSG00000014641" "MDH1" 4190 "malate dehydrogenase 1, NAD (soluble) [Source:HGNC Symbol;Acc:HGNC:6970]" 38.05 "2"
"129" "ENSG00000014824" "SLC30A9" 10463 "solute carrier family 30 (zinc transporter), member 9 [Source:HGNC Symbol;Acc:HGNC:1329]" 36.98 "4"
"130" "ENSG00000015171" "ZMYND11" 10771 "zinc finger, MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]" 37.8 "10"
"131" "ENSG00000015479" "MATR3" 9782 "matrin 3 [Source:HGNC Symbol;Acc:HGNC:6912]" 38.84 "5"
"132" "ENSG00000015676" "NUDCD3" 23386 "NudC domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22208]" 44.52 "7"
"133" "ENSG00000016602" "CLCA4" 22802 "chloride channel accessory 4 [Source:HGNC Symbol;Acc:HGNC:2018]" 37.99 "1"
"134" "ENSG00000017260" "ATP2C1" 27032 "ATPase, Ca++ transporting, type 2C, member 1 [Source:HGNC Symbol;Acc:HGNC:13211]" 37.56 "3"
"135" "ENSG00000017797" "RALBP1" 10928 "ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]" 41.38 "18"
"136" "ENSG00000018189" "RUFY3" 22902 "RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]" 39.91 "4"
"137" "ENSG00000018236" "CNTN1" 1272 "contactin 1 [Source:HGNC Symbol;Acc:HGNC:2171]" 35.21 "12"
"138" "ENSG00000018280" "SLC11A1" 6556 "solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10907]" 55.34 "2"
"139" "ENSG00000018408" "WWTR1" 25937 "WW domain containing transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:24042]" 41.07 "3"
"140" "ENSG00000018625" "ATP1A2" 477 "ATPase, Na+/K+ transporting, alpha 2 polypeptide [Source:HGNC Symbol;Acc:HGNC:800]" 50.38 "1"
"141" "ENSG00000019144" "PHLDB1" 23187 "pleckstrin homology-like domain, family B, member 1 [Source:HGNC Symbol;Acc:HGNC:23697]" 54.3 "11"
"142" "ENSG00000019582" "CD74" 972 "CD74 molecule, major histocompatibility complex, class II invariant chain [Source:HGNC Symbol;Acc:HGNC:1697]" 53.3 "5"
"143" "ENSG00000020129" "NCDN" 23154 "neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]" 57.71 "1"
"144" "ENSG00000020577" "SAMD4A" 23034 "sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]" 43.1 "14"
"145" "ENSG00000021300" "PLEKHB1" 58473 "pleckstrin homology domain containing, family B (evectins) member 1 [Source:HGNC Symbol;Acc:HGNC:19079]" 52.94 "11"
"146" "ENSG00000021355" "SERPINB1" 1992 "serpin peptidase inhibitor, clade B (ovalbumin), member 1 [Source:HGNC Symbol;Acc:HGNC:3311]" 43.16 "6"
"147" "ENSG00000021762" "OSBPL5" 114879 "oxysterol binding protein-like 5 [Source:HGNC Symbol;Acc:HGNC:16392]" 57 "11"
"148" "ENSG00000022267" "FHL1" 2273 "four and a half LIM domains 1 [Source:HGNC Symbol;Acc:HGNC:3702]" 42.07 "X"
"149" "ENSG00000022840" "RNF10" 9921 "ring finger protein 10 [Source:HGNC Symbol;Acc:HGNC:10055]" 45.25 "12"
"150" "ENSG00000023171" "GRAMD1B" 57476 "GRAM domain containing 1B [Source:HGNC Symbol;Acc:HGNC:29214]" 48.01 "11"
"151" "ENSG00000023191" "RNH1" 6050 "ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]" 60.36 "11"
"152" "ENSG00000023228" "NDUFS1" 4719 "NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7707]" 40.81 "2"
"153" "ENSG00000023287" "RB1CC1" 9821 "RB1-inducible coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:15574]" 37.73 "8"
"154" "ENSG00000023318" "ERP44" 23071 "endoplasmic reticulum protein 44 [Source:HGNC Symbol;Acc:HGNC:18311]" 37.86 "9"
"155" "ENSG00000023330" "ALAS1" 211 "5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]" 45.47 "3"
"156" "ENSG00000023516" "AKAP11" 11215 "A kinase (PRKA) anchor protein 11 [Source:HGNC Symbol;Acc:HGNC:369]" 36.45 "13"
"157" "ENSG00000023734" "STRAP" 11171 "serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]" 36.48 "12"
"158" "ENSG00000023902" "PLEKHO1" 51177 "pleckstrin homology domain containing, family O member 1 [Source:HGNC Symbol;Acc:HGNC:24310]" 51.63 "1"
"159" "ENSG00000024048" "UBR2" 23304 "ubiquitin protein ligase E3 component n-recognin 2 [Source:HGNC Symbol;Acc:HGNC:21289]" 39.1 "6"
"160" "ENSG00000024422" "EHD2" 30846 "EH-domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]" 52.96 "19"
"161" "ENSG00000025293" "PHF20" 51230 "PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]" 44.08 "20"
"162" "ENSG00000025708" "TYMP" 1890 "thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]" 64.63 "22"
"163" "ENSG00000025796" "SEC63" 11231 "SEC63 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:21082]" 39.82 "6"
"164" "ENSG00000025800" "KPNA6" 23633 "karyopherin alpha 6 (importin alpha 7) [Source:HGNC Symbol;Acc:HGNC:6399]" 44.21 "1"
"165" "ENSG00000026025" "VIM" 7431 "vimentin [Source:HGNC Symbol;Acc:HGNC:12692]" 46.25 "10"
"166" "ENSG00000026508" "CD44" 960 "CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]" 41.56 "11"
"167" "ENSG00000027697" "IFNGR1" 3459 "interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]" 38.81 "6"
"168" "ENSG00000028137" "TNFRSF1B" 7133 "tumor necrosis factor receptor superfamily, member 1B [Source:HGNC Symbol;Acc:HGNC:11917]" 55.39 "1"
"169" "ENSG00000028203" "VEZT" 55591 "vezatin, adherens junctions transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18258]" 38.6 "12"
"170" "ENSG00000028528" "SNX1" 6642 "sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]" 43.68 "15"
"171" "ENSG00000029363" "BCLAF1" 9774 "BCL2-associated transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:16863]" 35.61 "6"
"172" "ENSG00000029364" "SLC39A9" 55334 "solute carrier family 39, member 9 [Source:HGNC Symbol;Acc:HGNC:20182]" 40.2 "14"
"173" "ENSG00000029725" "RABEP1" 9135 "rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]" 41.37 "17"
"174" "ENSG00000030582" "GRN" 2896 "granulin [Source:HGNC Symbol;Acc:HGNC:4601]" 57.76 "17"
"175" "ENSG00000031698" "SARS" 6301 "seryl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:10537]" 43.12 "1"
"176" "ENSG00000031823" "RANBP3" 8498 "RAN binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9850]" 52.74 "19"
"177" "ENSG00000032444" "PNPLA6" 10908 "patatin-like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]" 55.88 "19"
"178" "ENSG00000033050" "ABCF2" 10061 "ATP-binding cassette, sub-family F (GCN20), member 2 [Source:HGNC Symbol;Acc:HGNC:71]" 49.19 "7"
"179" "ENSG00000033327" "GAB2" 9846 "GRB2-associated binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14458]" 41.71 "11"
"180" "ENSG00000033627" "ATP6V0A1" 535 "ATPase, H+ transporting, lysosomal V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]" 45.47 "17"
"181" "ENSG00000034152" "MAP2K3" 5606 "mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]" 56.97 "17"
"182" "ENSG00000034510" "TMSB10" 9168 "thymosin beta 10 [Source:HGNC Symbol;Acc:HGNC:11879]" 63.37 "2"
